name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Hannah Montana: The Movie,G,Comedy,2009,"April 10, 2009 (United States)",4.6,41000.0,Peter Chelsom,Dan Berendsen,Miley Cyrus,United States,30000000.0,155545279.0,It's a Laugh Productions,102.0
After the Wedding,PG-13,Drama,2019,"November 1, 2019 (United Kingdom)",6.3,6700.0,Bart Freundlich,Bart Freundlich,Julianne Moore,United States,,2790019.0,Sony Pictures Classics,112.0
The Brothers Solomon,R,Comedy,2007,"September 7, 2007 (United States)",5.3,11000.0,Bob Odenkirk,Will Forte,Will Arnett,United States,10000000.0,1035056.0,Carsey-Werner Company,93.0
Like Father Like Son,PG-13,Comedy,1987,"October 2, 1987 (United States)",5.2,5700.0,Rod Daniel,Lorne Cameron,Dudley Moore,United States,10500000.0,34377585.0,Imagine Films Entertainment,100.0
Rocketman,R,Biography,2019,"May 31, 2019 (United States)",7.3,153000.0,Dexter Fletcher,Lee Hall,Taron Egerton,United Kingdom,40000000.0,195179299.0,Paramount Pictures,121.0
Carrie,R,Drama,2013,"October 18, 2013 (United States)",5.9,135000.0,Kimberly Peirce,Lawrence D. Cohen,Chloë Grace Moretz,United States,30000000.0,84790678.0,Metro-Goldwyn-Mayer (MGM),100.0
Girls Trip,R,Adventure,2017,"July 21, 2017 (United States)",6.2,35000.0,Malcolm D. Lee,Erica Rivinoja,Regina Hall,United States,19000000.0,140552359.0,Perfect World Pictures,122.0
The Fourth Protocol,R,Thriller,1987,"August 28, 1987 (United States)",6.6,9200.0,John Mackenzie,George Axelrod,Michael Caine,United Kingdom,6000000.0,12423831.0,Fourth Protocol,119.0
The Mummy,PG-13,Action,2017,"June 9, 2017 (United States)",5.4,177000.0,Alex Kurtzman,David Koepp,Tom Cruise,United States,125000000.0,409231607.0,Universal Pictures,110.0
Eternity and a Day,Unrated,Drama,1998,"May 28, 1999 (United States)",7.9,11000.0,Theodoros Angelopoulos,Theodoros Angelopoulos,Bruno Ganz,France,,107178.0,Paradis Films,137.0
The House That Jack Built,R,Crime,2018,"October 17, 2018 (Belgium)",6.8,64000.0,Lars von Trier,Lars von Trier,Matt Dillon,Denmark,,3081913.0,Zentropa Entertainments,152.0
Into the Blue,PG-13,Action,2005,"September 30, 2005 (United States)",5.9,74000.0,John Stockwell,Matt Johnson,Paul Walker,United States,50000000.0,46117696.0,Columbia Pictures,110.0
Tightrope,R,Crime,1984,"August 17, 1984 (United States)",6.3,16000.0,Richard Tuggle,Richard Tuggle,Clint Eastwood,United States,,48143579.0,The Malpaso Company,114.0
Metropolis,PG-13,Animation,2001,"January 25, 2002 (United States)",7.2,21000.0,Rintaro,Osamu Tezuka,Toshio Furukawa,Japan,15000000.0,4035192.0,Bandai Visual Company,108.0
The Princess and the Frog,G,Animation,2009,"December 11, 2009 (United States)",7.1,130000.0,Ron Clements,Ron Clements,Anika Noni Rose,United States,105000000.0,267045765.0,Walt Disney Animation Studios,97.0
Ladyhawke,PG-13,Adventure,1985,"April 12, 1985 (United States)",7.0,44000.0,Richard Donner,Edward Khmara,Matthew Broderick,United States,20000000.0,18432000.0,Twentieth Century Fox,121.0
The Adventures of Baron Munchausen,PG,Adventure,1988,"March 10, 1989 (United States)",7.2,52000.0,Terry Gilliam,Charles McKeown,John Neville,United Kingdom,46630000.0,8083123.0,Prominent Features,126.0
Keeping the Faith,PG-13,Comedy,2000,"April 14, 2000 (United States)",6.4,50000.0,Edward Norton,Stuart Blumberg,Ben Stiller,United States,29000000.0,59945183.0,Spyglass Entertainment,128.0
Tell No One,Not Rated,Crime,2006,"November 1, 2006 (France)",7.5,52000.0,Guillaume Canet,Guillaume Canet,François Cluzet,France,,33428799.0,Trésor Films,131.0
Iris,R,Biography,2001,"March 29, 2002 (United States)",7.0,18000.0,Richard Eyre,John Bayley,Judi Dench,United Kingdom,5500000.0,16153953.0,British Broadcasting Corporation (BBC),91.0
Mongol: The Rise of Genghis Khan,R,Action,2007,"July 4, 2008 (United States)",7.2,45000.0,Sergei Bodrov,Arif Aliev,Tadanobu Asano,Russia,18000000.0,26527510.0,CTB Film Company,126.0
Ravenous,R,Adventure,1999,"March 19, 1999 (United States)",7.0,38000.0,Antonia Bird,Ted Griffin,Guy Pearce,United Kingdom,12000000.0,2062405.0,ETIC Films,101.0
Hidalgo,PG-13,Action,2004,"March 5, 2004 (United States)",6.7,79000.0,Joe Johnston,John Fusco,Viggo Mortensen,United States,100000000.0,108040622.0,Touchstone Pictures,136.0
Thor,PG-13,Action,2011,"May 6, 2011 (United States)",7.0,772000.0,Kenneth Branagh,Ashley Miller,Chris Hemsworth,United States,150000000.0,449326618.0,Paramount Pictures,115.0
"Girl, Interrupted",R,Biography,1999,"January 14, 2000 (United States)",7.3,169000.0,James Mangold,Susanna Kaysen,Winona Ryder,Germany,40000000.0,48350205.0,Columbia Pictures,127.0
The Last Seduction,R,Crime,1994,"October 26, 1994 (United States)",7.1,22000.0,John Dahl,Steve Barancik,Linda Fiorentino,United Kingdom,2500000.0,5842603.0,Incorporated Television Company (ITC),110.0
Fired Up!,PG-13,Comedy,2009,"February 20, 2009 (United States)",6.1,43000.0,Will Gluck,Will Gluck,Eric Christian Olsen,United States,20000000.0,18599102.0,Screen Gems,90.0
The Guardian,PG-13,Action,2006,"September 29, 2006 (United States)",6.9,89000.0,Andrew Davis,Ron L. Brinkerhoff,Kevin Costner,United States,70000000.0,94973540.0,Touchstone Pictures,139.0
High Hopes,PG,Comedy,1988,"May 25, 1989 (Italy)",7.4,4800.0,Mike Leigh,Mike Leigh,Phil Davis,United Kingdom,,1192322.0,Portman Productions,108.0
The Whales of August,Not Rated,Drama,1987,"August 19, 1987 (France)",7.3,4400.0,Lindsay Anderson,David Berry,Bette Davis,United States,,1338198.0,Alive Films,90.0
Mosquito,R,Horror,1994,"November 21, 1994 (Japan)",4.7,2200.0,Gary Jones,Tom Chaney,Gunnar Hansen,United States,200000.0,,Antibes Inc.,92.0
Romero,PG-13,Biography,1989,"August 25, 1989 (United States)",7.2,2100.0,John Duigan,John Sacret Young,Raul Julia,United States,,1316495.0,Paulist Pictures,102.0
Jason Bourne,PG-13,Action,2016,"July 29, 2016 (United States)",6.6,213000.0,Paul Greengrass,Paul Greengrass,Matt Damon,United States,120000000.0,415484914.0,Universal Pictures,123.0
Trainwreck,R,Comedy,2015,"July 17, 2015 (United States)",6.2,132000.0,Judd Apatow,Amy Schumer,Amy Schumer,United States,35000000.0,140795793.0,Universal Pictures,125.0
She's Funny That Way,R,Comedy,2014,"August 21, 2015 (United States)",6.1,25000.0,Peter Bogdanovich,Louise Stratten,Imogen Poots,United States,,6034851.0,Lagniappe Films,93.0
Fire in the Sky,PG-13,Biography,1993,"March 12, 1993 (United States)",6.5,23000.0,Robert Lieberman,Travis Walton,D.B. Sweeney,United States,15000000.0,19885552.0,Paramount Pictures,109.0
Honeymoon,R,Drama,2014,"September 12, 2014 (United States)",5.7,25000.0,Leigh Janiak,Phil Graziadei,Rose Leslie,United States,1000000.0,24343.0,Fewlas Entertainment,87.0
Benny & Joon,PG,Comedy,1993,"April 16, 1993 (United States)",7.2,56000.0,Jeremiah S. Chechik,Barry Berman,Johnny Depp,United States,,23261580.0,Metro-Goldwyn-Mayer (MGM),98.0
The Life Before Her Eyes,R,Drama,2007,"September 5, 2008 (Poland)",6.3,14000.0,Vadim Perelman,Laura Kasischke,Uma Thurman,United States,13000000.0,7248490.0,2929 Productions,90.0
Go,R,Comedy,1999,"April 9, 1999 (United States)",7.2,68000.0,Doug Liman,John August,Sarah Polley,United States,20000000.0,28451622.0,Columbia Pictures,102.0
The Heartbreak Kid,R,Comedy,2007,"October 5, 2007 (United States)",5.8,88000.0,Bobby Farrelly,Scot Armstrong,Ben Stiller,United States,60000000.0,128453183.0,Dreamworks Pictures,116.0
Two If by Sea,R,Comedy,1996,"January 12, 1996 (United States)",5.2,5500.0,Bill Bennett,Denis Leary,Sandra Bullock,United States,,10658278.0,Morgan Creek Entertainment,96.0
Do the Right Thing,R,Comedy,1989,"July 21, 1989 (United States)",8.0,94000.0,Spike Lee,Spike Lee,Danny Aiello,United States,6500000.0,37295445.0,40 Acres & A Mule Filmworks,120.0
Valerian and the City of a Thousand Planets,PG-13,Action,2017,"July 21, 2017 (United States)",6.5,168000.0,Luc Besson,Pierre Christin,Dane DeHaan,France,177200000.0,225973340.0,EuropaCorp,136.0
Two Evil Eyes,R,Horror,1990,"October 25, 1991 (United States)",6.1,6400.0,Dario Argento,Edgar Allan Poe,Adrienne Barbeau,Italy,9000000.0,349618.0,ADC Films,120.0
The Rainbow,R,Action,1989,"May 26, 1989 (United States)",6.2,1400.0,Ken Russell,Ken Russell,Sammi Davis,United Kingdom,11987578.0,444055.0,Vestron Pictures,113.0
Up Close & Personal,PG-13,Drama,1996,"March 1, 1996 (United States)",6.2,14000.0,Jon Avnet,Joan Didion,Robert Redford,United States,60000000.0,100688705.0,Touchstone Pictures,124.0
Out of Sight,R,Comedy,1998,"June 26, 1998 (United States)",7.0,88000.0,Steven Soderbergh,Elmore Leonard,George Clooney,United States,48000000.0,77745966.0,Universal Pictures,123.0
True Romance,R,Crime,1993,"September 10, 1993 (United States)",7.9,212000.0,Tony Scott,Quentin Tarantino,Christian Slater,United States,13000000.0,13088850.0,Morgan Creek Entertainment,119.0
Return to Me,PG,Comedy,2000,"April 7, 2000 (United States)",6.9,20000.0,Bonnie Hunt,Bonnie Hunt,David Duchovny,United States,24000000.0,36609995.0,Metro-Goldwyn-Mayer (MGM),115.0
Dangerous Minds,R,Biography,1995,"August 11, 1995 (United States)",6.5,50000.0,John N. Smith,LouAnne Johnson,Michelle Pfeiffer,United States,23000000.0,179519401.0,Hollywood Pictures,99.0
Halloween II,R,Horror,1981,"October 30, 1981 (United States)",6.5,77000.0,Rick Rosenthal,John Carpenter,Jamie Lee Curtis,United States,2500000.0,25533818.0,Dino De Laurentiis Company,92.0
Shade,R,Crime,2003,"May 9, 2004 (United States)",6.3,12000.0,Damian Nieman,Damian Nieman,Joe Nicolo,United States,10000000.0,459098.0,Cobalt Media Group,101.0
Moonlight,R,Drama,2016,"November 18, 2016 (United States)",7.4,284000.0,Barry Jenkins,Barry Jenkins,Mahershala Ali,United States,4000000.0,65336603.0,A24,111.0
Austin Powers in Goldmember,PG-13,Action,2002,"July 26, 2002 (United States)",6.2,199000.0,Jay Roach,Mike Myers,Mike Myers,United States,63000000.0,296938801.0,New Line Cinema,94.0
Breakin',PG,Comedy,1984,"May 4, 1984 (United States)",5.8,6000.0,Joel Silberg,Charles Parker,Lucinda Dickey,United States,,38682707.0,Golan-Globus Productions,90.0
The Disappearance of Alice Creed,R,Crime,2009,"April 30, 2010 (United Kingdom)",6.7,26000.0,J Blakeson,J Blakeson,Gemma Arterton,United Kingdom,800000.0,896919.0,CinemaNX,100.0
Crimes and Misdemeanors,PG-13,Comedy,1989,"November 3, 1989 (United States)",7.9,56000.0,Woody Allen,Woody Allen,Martin Landau,United States,19000000.0,18254702.0,Jack Rollins & Charles H. Joffe Productions,104.0
Jingle All the Way,PG,Adventure,1996,"November 22, 1996 (United States)",5.6,95000.0,Brian Levant,Randy Kornfield,Arnold Schwarzenegger,United States,60000000.0,129832389.0,1492 Pictures,89.0
Cyborg,R,Action,1989,"April 7, 1989 (United States)",5.1,30000.0,Albert Pyun,Albert Pyun,Jean-Claude Van Damme,United States,500000.0,10166459.0,Cannon Entertainment,86.0
Rambo,R,Action,2008,"January 25, 2008 (United States)",7.0,222000.0,Sylvester Stallone,Art Monterastelli,Sylvester Stallone,Germany,50000000.0,113244290.0,Lionsgate,92.0
Little Man Tate,PG,Drama,1991,"November 1, 1991 (United States)",6.6,14000.0,Jodie Foster,Scott Frank,Jodie Foster,United States,10000000.0,25010896.0,Orion Pictures,99.0
How to Train Your Dragon 2,PG,Animation,2014,"June 13, 2014 (United States)",7.8,313000.0,Dean DeBlois,Dean DeBlois,Jay Baruchel,United States,145000000.0,621537519.0,DreamWorks Animation,102.0
Piranha 3DD,R,Comedy,2012,"July 14, 2012 (Japan)",3.7,41000.0,John Gulager,Patrick Melton,Danielle Panabaker,United States,5000000.0,8518634.0,Dimension Films,83.0
Flowers in the Attic,PG-13,Drama,1987,"November 20, 1987 (United States)",5.7,9500.0,Jeffrey Bloom,Virginia C. Andrews,Louise Fletcher,United States,,15151736.0,New World Pictures,93.0
The Monkey's Mask,R,Crime,2000,"May 10, 2001 (Australia)",5.1,1500.0,Samantha Lang,Anne Kennedy,Susie Porter,Australia,,6831.0,Arenafilm,93.0
Mad Max 2,R,Action,1981,"May 21, 1982 (United States)",7.6,170000.0,George Miller,Terry Hayes,Mel Gibson,Australia,3000000.0,23668369.0,Kennedy Miller Productions,96.0
Skyline,PG-13,Action,2010,"November 12, 2010 (United States)",4.4,88000.0,Colin Strause,Joshua Cordes,Eric Balfour,United States,10000000.0,66984887.0,Rogue Pictures,92.0
In the Line of Fire,R,Action,1993,"July 9, 1993 (United States)",7.2,96000.0,Wolfgang Petersen,Jeff Maguire,Clint Eastwood,United States,40000000.0,176997168.0,Columbia Pictures,128.0
Watchers,R,Action,1988,"December 2, 1988 (United States)",5.4,4000.0,Jon Hess,Dean R. Koontz,Corey Haim,Canada,,940173.0,Concorde Pictures,91.0
First Strike,PG-13,Action,1996,"January 10, 1997 (United States)",6.6,20000.0,Stanley Tong,Greg Mellott,Jackie Chan,Hong Kong,,21890845.0,Golden Harvest Company,107.0
Wonder Woman 1984,PG-13,Action,2020,"December 25, 2020 (United States)",5.4,217000.0,Patty Jenkins,Patty Jenkins,Gal Gadot,United States,,166534027.0,Atlas Entertainment,151.0
Joe's Apartment,PG-13,Comedy,1996,"July 26, 1996 (United States)",5.5,13000.0,John Payson,John Payson,Jerry O'Connell,United States,13000000.0,4619014.0,Geffen Pictures,80.0
Twins,PG,Comedy,1988,"December 9, 1988 (United States)",6.1,117000.0,Ivan Reitman,William Davies,Arnold Schwarzenegger,United States,15000000.0,216614388.0,Universal Pictures,107.0
21,PG-13,Crime,2008,"March 28, 2008 (United States)",6.8,235000.0,Robert Luketic,Peter Steinfeld,Jim Sturgess,United States,35000000.0,159808370.0,Columbia Pictures,123.0
Hardball,R,Drama,2001,"September 14, 2001 (United States)",6.4,29000.0,Brian Robbins,Daniel Coyle,Keanu Reeves,Germany,32000000.0,44102389.0,Paramount Pictures,106.0
Brother Bear,G,Animation,2003,"November 1, 2003 (United States)",6.8,101000.0,Aaron Blaise,Tab Murphy,Joaquin Phoenix,United States,128000000.0,250397798.0,Walt Disney Animation Studios,85.0
Ever After: A Cinderella Story,PG-13,Comedy,1998,"July 31, 1998 (United States)",7.0,71000.0,Andy Tennant,Susannah Grant,Drew Barrymore,United States,26000000.0,98005666.0,Twentieth Century Fox,121.0
The Naked Gun: from the Files of Police Squad!,PG-13,Comedy,1988,"December 2, 1988 (United States)",7.6,158000.0,David Zucker,Jerry Zucker,Leslie Nielsen,United States,12000000.0,78756177.0,Paramount Pictures,85.0
Phantoms,R,Horror,1998,"January 23, 1998 (United States)",5.4,20000.0,Joe Chappelle,Dean R. Koontz,Peter O'Toole,United States,,5624282.0,Miramax,96.0
Source Code,PG-13,Action,2011,"April 1, 2011 (United States)",7.5,495000.0,Duncan Jones,Ben Ripley,Jake Gyllenhaal,United States,32000000.0,147332697.0,Summit Entertainment,93.0
Tucker and Dale vs Evil,R,Comedy,2010,"December 9, 2010 (Kazakhstan)",7.5,169000.0,Eli Craig,Eli Craig,Tyler Labine,Canada,,5224938.0,Reliance Big Pictures,89.0
Bringing Down the House,PG-13,Comedy,2003,"March 7, 2003 (United States)",5.6,35000.0,Adam Shankman,Jason Filardi,Steve Martin,United States,33000000.0,164729679.0,Touchstone Pictures,105.0
Burglar,R,Comedy,1987,"March 20, 1987 (United States)",5.2,4200.0,Hugh Wilson,Lawrence Block,Whoopi Goldberg,Canada,,16337355.0,Nelvana,103.0
Slam Dance,R,Crime,1987,"October 2, 1987 (United States)",5.3,1400.0,Wayne Wang,Don Keith Opper,Tom Hulce,United Kingdom,4500000.0,406881.0,Zenith Entertainment,92.0
The Twilight Saga: Breaking Dawn - Part 2,PG-13,Adventure,2012,"November 16, 2012 (United States)",5.5,236000.0,Bill Condon,Melissa Rosenberg,Kristen Stewart,United States,120000000.0,829747654.0,Summit Entertainment,115.0
Tanner Hall,R,Drama,2009,"January 15, 2015 (Sweden)",5.8,3500.0,Francesca Gregorini,Tatiana von Fürstenberg,Rooney Mara,United States,3000000.0,5073.0,Two Prong Lesson,96.0
The Princess Diaries 2: Royal Engagement,G,Comedy,2004,"August 11, 2004 (United States)",5.8,76000.0,Garry Marshall,Meg Cabot,Anne Hathaway,United States,40000000.0,134734481.0,Walt Disney Pictures,113.0
Hacksaw Ridge,R,Biography,2016,"November 4, 2016 (United States)",8.1,457000.0,Mel Gibson,Robert Schenkkan,Andrew Garfield,Australia,40000000.0,180563636.0,Summit Entertainment,139.0
Dogfight,R,Comedy,1991,"October 4, 1991 (United States)",7.4,8700.0,Nancy Savoca,Bob Comfort,River Phoenix,United States,,394631.0,Warner Bros.,94.0
Heaven and Earth,PG-13,Action,1990,"February 8, 1991 (United States)",7.0,958.0,Haruki Kadokawa,Haruki Kadokawa,Takaaki Enoki,Japan,42000000.0,,Haruki Kadokawa Films,125.0
Paranormal Activity 2,R,Horror,2010,"October 22, 2010 (United States)",5.7,100000.0,Tod Williams,Michael R. Perry,Katie Featherston,United States,3000000.0,177512032.0,Paramount Pictures,91.0
Pearl Harbor,PG-13,Action,2001,"May 25, 2001 (United States)",6.2,317000.0,Michael Bay,Randall Wallace,Ben Affleck,United States,140000000.0,449220945.0,Touchstone Pictures,183.0
Heat,R,Crime,1995,"December 15, 1995 (United States)",8.2,596000.0,Michael Mann,Michael Mann,Al Pacino,United States,60000000.0,187436818.0,Warner Bros.,170.0
Cecil B. Demented,R,Comedy,2000,"September 1, 2000 (United States)",6.2,14000.0,John Waters,John Waters,Melanie Griffith,United States,10000000.0,1961544.0,Artic Productions LLC,87.0
Wonder,PG,Drama,2017,"November 17, 2017 (United States)",8.0,150000.0,Stephen Chbosky,Stephen Chbosky,Jacob Tremblay,United States,20000000.0,306209289.0,Lionsgate,113.0
Take Me,TV-MA,Comedy,2017,"May 5, 2017 (United States)",6.1,4900.0,Pat Healy,Mike Makowsky,Pat Healy,United States,,2583.0,Duplass Brothers Productions,83.0
The Shining,R,Drama,1980,"June 13, 1980 (United States)",8.4,927000.0,Stanley Kubrick,Stephen King,Jack Nicholson,United Kingdom,19000000.0,46998772.0,Warner Bros.,146.0
Blue Velvet,R,Drama,1986,"October 23, 1986 (Italy)",7.7,186000.0,David Lynch,David Lynch,Isabella Rossellini,United States,6000000.0,8618766.0,De Laurentiis Entertainment Group (DEG),120.0
Boys on the Side,R,Comedy,1995,"February 3, 1995 (United States)",6.5,12000.0,Herbert Ross,Don Roos,Whoopi Goldberg,United States,21000000.0,23440188.0,Alcor Films,115.0
Rango,PG,Animation,2011,"March 4, 2011 (United States)",7.2,245000.0,Gore Verbinski,John Logan,Johnny Depp,United States,135000000.0,245724603.0,Paramount Pictures,107.0
Snitch,PG-13,Action,2013,"February 22, 2013 (United States)",6.4,85000.0,Ric Roman Waugh,Justin Haythe,Dwayne Johnson,United States,15000000.0,57824674.0,Exclusive Media Group,112.0
Paul,R,Adventure,2011,"March 18, 2011 (United States)",7.0,240000.0,Greg Mottola,Simon Pegg,Simon Pegg,United States,40000000.0,97984015.0,Universal Pictures,104.0
Gamer,R,Action,2009,"September 4, 2009 (United States)",5.8,131000.0,Mark Neveldine,Mark Neveldine,Gerard Butler,United States,50000000.0,40828540.0,Lionsgate,95.0
The Delta Force,R,Action,1986,"February 14, 1986 (United States)",5.6,19000.0,Menahem Golan,James Bruner,Chuck Norris,United States,12000000.0,17768900.0,Golan-Globus Productions,125.0
Open Your Eyes,R,Drama,1997,"December 19, 1997 (Spain)",7.7,65000.0,Alejandro Amenábar,Alejandro Amenábar,Eduardo Noriega,Spain,,377967.0,Canal+ España,119.0
Outland,R,Action,1981,"May 22, 1981 (United States)",6.6,28000.0,Peter Hyams,Peter Hyams,Sean Connery,United Kingdom,16000000.0,17374595.0,The Ladd Company,109.0
Lean on Me,PG-13,Drama,1989,"March 3, 1989 (United States)",7.4,19000.0,John G. Avildsen,Michael Schiffer,Morgan Freeman,United States,10000000.0,31906454.0,Norman Twain Productions,108.0
Little Giants,PG,Comedy,1994,"October 14, 1994 (United States)",6.4,27000.0,Duwayne Dunham,James Ferguson,Rick Moranis,United States,20000000.0,19306362.0,Warner Bros.,107.0
Love at Large,R,Comedy,1990,"March 9, 1990 (United States)",5.7,1200.0,Alan Rudolph,Alan Rudolph,Tom Berenger,United States,,1436308.0,David Blocker Productions,97.0
"Big Mommas: Like Father, Like Son",PG-13,Action,2011,"February 18, 2011 (United States)",4.4,26000.0,John Whitesell,Matthew Fogel,Martin Lawrence,United States,32000000.0,82686066.0,New Regency Productions,107.0
My Neighbor Totoro,G,Animation,1988,"July 13, 1990 (United States)",8.2,304000.0,Hayao Miyazaki,Hayao Miyazaki,Hitoshi Takagi,Japan,3700000.0,30550920.0,Tokuma Japan Communications,86.0
Boyhood,R,Drama,2014,"August 15, 2014 (United States)",7.9,341000.0,Richard Linklater,Richard Linklater,Ellar Coltrane,United States,4000000.0,48137666.0,IFC Productions,165.0
Envy,PG-13,Comedy,2004,"April 30, 2004 (United States)",4.8,30000.0,Barry Levinson,Steve Adams,Ben Stiller,United States,40000000.0,14494036.0,Dreamworks Pictures,99.0
Frozen,PG,Animation,2013,"November 27, 2013 (United States)",7.4,585000.0,Chris Buck,Jennifer Lee,Kristen Bell,United States,150000000.0,1281508100.0,Walt Disney Animation Studios,102.0
Bugs Bunny's 3rd Movie: 1001 Rabbit Tales,G,Animation,1982,"November 19, 1982 (United States)",7.1,1800.0,Directors,John W. Dunn,Mel Blanc,United States,,78350.0,Warner Bros. Animation,74.0
A Night in the Life of Jimmy Reardon,R,Comedy,1988,"February 26, 1988 (United States)",5.5,2600.0,William Richert,William Richert,River Phoenix,United States,,6264058.0,Island Pictures,90.0
A Dog's Way Home,PG,Adventure,2019,"January 11, 2019 (United States)",6.7,16000.0,Charles Martin Smith,W. Bruce Cameron,Ashley Judd,China,18000000.0,80708134.0,Bona Film Group,96.0
Deception,R,Crime,2008,"April 25, 2008 (United States)",6.1,38000.0,Marcel Langenegger,Mark Bomback,Hugh Jackman,United States,25000000.0,18024545.0,Rifkin-Eberts,107.0
Little Dorrit,G,Drama,1987,"October 21, 1988 (United States)",7.3,1000.0,Christine Edzard,Charles Dickens,Derek Jacobi,United Kingdom,,1025228.0,Sands,357.0
Ghost World,R,Comedy,2001,"September 21, 2001 (United States)",7.3,115000.0,Terry Zwigoff,Daniel Clowes,Steve Buscemi,United States,7000000.0,8764007.0,United Artists,111.0
A Sunday in the Country,G,Drama,1984,"April 11, 1984 (France)",7.6,2500.0,Bertrand Tavernier,Pierre Bost,Louis Ducreux,France,,2411143.0,Films A2,90.0
Living in Oblivion,R,Comedy,1995,"July 21, 1995 (United States)",7.5,17000.0,Tom DiCillo,Tom DiCillo,Steve Buscemi,United States,500000.0,1111790.0,JDI Productions,90.0
Cloudy with a Chance of Meatballs,PG,Animation,2009,"September 18, 2009 (United States)",6.9,212000.0,Phil Lord,Phil Lord,Anna Faris,United States,100000000.0,243006126.0,Columbia Pictures,90.0
Twelve,R,Action,2010,"August 6, 2010 (United States)",5.6,12000.0,Joel Schumacher,Jordan Melamed,Chace Crawford,United States,5000000.0,2648195.0,Gaumont,93.0
The Spy Next Door,PG,Action,2010,"January 15, 2010 (United States)",5.5,42000.0,Brian Levant,Jonathan Bernstein,Jackie Chan,United States,28000000.0,66166000.0,Relativity Media,94.0
My Dog Skip,PG,Comedy,2000,"March 3, 2000 (United States)",7.0,20000.0,Jay Russell,Willie Morris,Frankie Muniz,United States,6000000.0,35547761.0,Alcon Entertainment,95.0
Things Are Tough All Over,R,Action,1982,"August 4, 1982 (United States)",6.0,3100.0,Thomas K. Avildsen,Cheech Marin,Toni Attell,United States,7000000.0,21134374.0,C & C Brown Production,90.0
Cinema Paradiso,PG,Drama,1988,"February 23, 1990 (United States)",8.5,239000.0,Giuseppe Tornatore,Giuseppe Tornatore,Philippe Noiret,Italy,5000000.0,13019063.0,Cristaldifilm,155.0
Robin Hood: Men in Tights,PG-13,Adventure,1993,"July 28, 1993 (United States)",6.7,119000.0,Mel Brooks,J.D. Shapiro,Cary Elwes,France,20000000.0,35739755.0,Brooksfilms,104.0
Harlem Nights,R,Comedy,1989,"November 17, 1989 (United States)",6.1,21000.0,Eddie Murphy,Eddie Murphy,Eddie Murphy,United States,30000000.0,60864870.0,Eddie Murphy Productions,116.0
The Lords of Discipline,R,Thriller,1983,"February 18, 1983 (United States)",6.6,2600.0,Franc Roddam,Pat Conroy,David Keith,United States,,11787127.0,Paramount Pictures,102.0
S.F.W.,R,Comedy,1994,"January 20, 1995 (United States)",5.8,4800.0,Jefery Levy,Andrew Wellman,Stephen Dorff,United States,,63513.0,Polygram Filmed Entertainment,96.0
Darkness Falls,PG-13,Fantasy,2003,"January 24, 2003 (United States)",5.0,31000.0,Jonathan Liebesman,Joe Harris,Chaney Kley,United States,11000000.0,47488536.0,Revolution Studios,86.0
Hot Shots!,PG-13,Action,1991,"July 31, 1991 (United States)",6.8,102000.0,Jim Abrahams,Jim Abrahams,Charlie Sheen,United States,26000000.0,181096164.0,Twentieth Century Fox,84.0
Superbabies: Baby Geniuses 2,PG,Comedy,2004,"August 27, 2004 (United States)",1.9,30000.0,Bob Clark,Robert Grasmere,Jon Voight,Germany,20000000.0,9448644.0,ApolloMedia Distribution,88.0
Requiem for a Dream,Unrated,Drama,2000,"December 15, 2000 (United States)",8.3,786000.0,Darren Aronofsky,Hubert Selby Jr.,Ellen Burstyn,United States,4500000.0,7390108.0,Artisan Entertainment,102.0
Nothing in Common,PG,Comedy,1986,"July 30, 1986 (United States)",5.9,6600.0,Garry Marshall,Garry Marshall,Tom Hanks,United States,,32324557.0,Delphi Films,118.0
Home Again,PG-13,Comedy,2017,"September 8, 2017 (United States)",5.8,30000.0,Hallie Meyers-Shyer,Hallie Meyers-Shyer,Reese Witherspoon,United States,12000000.0,37270721.0,Black Bicycle Entertainment,97.0
A Simple Favor,R,Comedy,2018,"September 14, 2018 (United States)",6.8,136000.0,Paul Feig,Darcey Bell,Anna Kendrick,Canada,20000000.0,97644617.0,BRON Studios,117.0
The Mighty,PG-13,Comedy,1998,"October 30, 1998 (United States)",7.3,13000.0,Peter Chelsom,Rodman Philbrick,Kieran Culkin,United States,,2652246.0,Chaos Productions,100.0
eXistenZ,R,Horror,1999,"April 23, 1999 (United States)",6.8,96000.0,David Cronenberg,David Cronenberg,Jude Law,United Kingdom,15000000.0,2856712.0,Dimension Films,97.0
The Duke of Burgundy,Not Rated,Drama,2014,"January 23, 2015 (United States)",6.5,12000.0,Peter Strickland,Peter Strickland,Sidse Babett Knudsen,United Kingdom,1000000.0,185147.0,Rook Films,104.0
Stardust,PG-13,Adventure,2007,"August 10, 2007 (United States)",7.6,260000.0,Matthew Vaughn,Jane Goldman,Charlie Cox,United Kingdom,70000000.0,137515140.0,Paramount Pictures,127.0
The Shape of Water,R,Adventure,2017,"December 22, 2017 (United States)",7.3,386000.0,Guillermo del Toro,Guillermo del Toro,Sally Hawkins,United States,19400000.0,195333312.0,Double Dare You (DDY),123.0
The Boy in the Striped Pajamas,PG-13,Drama,2008,"November 26, 2008 (United States)",7.8,196000.0,Mark Herman,John Boyne,Asa Butterfield,United Kingdom,12500000.0,40416563.0,Miramax,94.0
